[14, 10]
[5, 4]
[13, 10]
[15, 11]
[8, 1]
[13, 10]
[15, 11]
[14, 10]
[4, 1]
[20, 5]
[6, 8]
[6, 8]
[20, 5]
[9, 9]
[10, 8]
[8, 3]
[8, 1]
[17, 1]
[2, 13]
[16, 5]
[6, 4]
[8, 3]
[4, 10]
[14, 2]
[4, 11]
[14, 2]
[3, 3]
[8, 12]
[16, 11]
[9, 12]
[9, 12]
[18, 11]
[7, 9]
[8, 7]
[8, 7]
[18, 11]
[10, 6]
[16, 3]
[10, 10]
[5, 13]
[5, 13]
[13, 9]
[18, 8]
[17, 9]
[7, 7]
[4, 7]
[12, 2]
[2, 5]
[7, 7]
[2, 5]
[12, 2]
[16, 11]
[17, 9]
[7, 11]
[3, 10]
[5, 7]
[6, 12]
[20, 13]
[10, 12]
[6, 12]
[9, 5]
[20, 9]
[11, 4]
[3, 9]
[9, 5]
[13, 7]
[9, 2]
[10, 2]
[5, 9]
[20, 3]
[12, 4]
[2, 3]
[20, 3]
[5, 9]
[2, 3]
[12, 4]
[9, 2]
[5, 4]
[16, 4]
[4, 3]
[20, 7]
[9, 3]
[14, 11]
[4, 10]
[16, 4]
[9, 3]
[20, 7]
[5, 12]
[11, 2]
[15, 13]
[15, 13]
[5, 12]
[11, 2]
[15, 7]
[13, 1]
[15, 7]
[20, 8]
[19, 13]
[19, 4]
[2, 13]
[17, 7]
[10, 4]
[15, 1]
[11, 11]
[7, 1]
[15, 1]
[7, 1]
[14, 6]
[6, 3]
[14, 6]
[20, 6]
[12, 9]
[19, 2]
[6, 5]
[18, 6]
[12, 9]
[20, 6]
[19, 2]
[7, 5]
[3, 12]
[10, 3]
[14, 8]
[4, 13]
[5, 1]
[8, 8]
[3, 12]
[14, 1]
[6, 10]
[17, 12]
[11, 13]
[18, 2]
[18, 2]
[14, 1]
[6, 10]
[20, 11]
[16, 8]
[3, 4]
[11, 9]
[20, 11]
[16, 8]
[15, 12]
[13, 5]
[14, 7]
[8, 6]
[16, 2]
[7, 3]
[2, 8]
[8, 6]
[7, 3]
[15, 12]
[14, 7]
[10, 5]
[16, 6]
[14, 13]
[16, 6]
[18, 10]
[11, 13]
[18, 10]
[2, 10]
[8, 13]
[19, 5]
[17, 6]
[5, 10]
[4, 8]
[4, 12]
[19, 5]
[14, 9]
[11, 8]
[3, 5]
[16, 9]
[10, 13]
[20, 12]
[10, 13]
[16, 9]
[19, 11]
[19, 9]
[8, 11]
[13, 12]
[8, 11]
[19, 11]
[6, 5]
[9, 13]
[11, 10]
[12, 7]
[8, 4]
[15, 3]
[15, 3]
[11, 10]
[9, 13]
[17, 8]
[12, 13]
[2, 4]
[12, 3]
[6, 1]
[12, 3]
[2, 4]
[12, 13]
[17, 8]
[16, 7]
[18, 12]
[2, 6]
[18, 4]
[18, 4]
[18, 12]
[11, 3]
[5, 3]
[12, 8]
[2, 2]
[12, 5]
[12, 5]
[2, 2]
[5, 3]
[15, 8]
[13, 3]
[15, 5]
[17, 10]
[17, 10]
[15, 5]
[15, 8]
[6, 11]
[13, 2]
[14, 3]
[20, 10]
[4, 7]
[9, 6]
[7, 12]
[15, 2]
[5, 5]
[15, 2]
[14, 5]
[19, 3]
[3, 1]
[3, 1]
[19, 3]
[14, 5]
[9, 1]
[19, 7]
[4, 5]
[20, 1]
[19, 7]
[9, 1]
[19, 10]
[14, 12]
[8, 2]
[8, 2]
[7, 4]
[7, 13]
[16, 13]
[7, 4]
[16, 13]
[9, 7]
[11, 12]
[3, 7]
[17, 2]
[2, 9]
[13, 13]
[2, 9]
[17, 2]
[5, 6]
[11, 12]
[11, 5]
[3, 8]
[12, 11]
[10, 7]
[18, 3]
[10, 7]
[18, 3]
[3, 8]
[11, 5]
[12, 11]
[4, 4]
[2, 12]
[17, 4]
[2, 12]
[3, 13]
[13, 11]
[13, 4]
[10, 9]
[10, 1]
[20, 1]
[18, 5]
[15, 4]
[18, 5]
[15, 4]
[10, 9]
[12, 1]
[2, 11]
[9, 8]
[17, 11]
[13, 6]
[9, 11]
[6, 7]
[13, 6]
[17, 11]
[9, 11]
[12, 10]
[7, 2]
[19, 8]
[18, 13]
[18, 13]
[8, 9]
[7, 2]
[12, 10]
[15, 10]
[15, 10]
[15, 6]
[7, 6]
[7, 6]
[2, 11]
[15, 6]
[17, 3]
[19, 6]
[20, 4]
[16, 12]
[18, 9]
[16, 12]
[19, 6]
[11, 7]
[15, 9]
[11, 7]
[17, 5]
[8, 10]
[16, 1]
[7, 8]
[4, 2]
[17, 5]
[14, 4]
[12, 6]
[2, 1]
[19, 1]
[8, 5]
[10, 11]
[5, 8]
[8, 5]
[5, 8]
[2, 1]
[12, 6]
[19, 1]
[20, 2]
[4, 6]
[5, 2]
[3, 11]
[6, 9]
[6, 9]
[20, 2]
[5, 11]
[4, 9]
[18, 7]
[11, 1]
[4, 9]
[5, 11]
[11, 1]
[9, 4]
[3, 6]
[2, 7]
[16, 10]
[2, 7]
[16, 10]
[9, 4]
[17, 13]
[3, 2]
[13, 8]
[19, 12]
[17, 13]
[13, 8]
[11, 6]
[6, 2]
[6, 13]
[6, 6]
[9, 10]
[9, 10]
[6, 2]
[11, 6]
[7, 10]
[12, 12]
[18, 1]
[18, 1]
